ds,yhat,yhat_lower,yhat_upper
2023-02-21,1705318.1773983275,655117.6777755443,2585186.767561956
2023-02-22,1740840.2352477275,709603.8664960543,2686519.8102356894
2023-02-23,1793039.2961480378,835065.573090178,2701904.4474499263
2023-02-24,1778825.7103242571,819368.4334329828,2762225.8720811005
2023-02-25,1595652.934235184,655089.6530331952,2530410.017115794
2023-02-26,1750073.8061490615,804923.860170388,2610291.647397991
2023-02-27,1738629.3266443296,790712.9114039459,2575915.2100110655
2023-02-28,1705946.4334661574,683867.0812890751,2622751.5956028486
2023-03-01,1741468.4914288092,826988.5451605078,2662983.2561762556
2023-03-02,1793667.5524429705,818192.5972117868,2712632.444262415
2023-03-03,1779453.9667324137,835452.063881847,2737063.393222277
2023-03-04,1596281.1906434055,632742.0664409493,2562767.9564078045
2023-03-05,1750702.0625574915,798563.2452473269,2704892.4907896305
2023-03-06,1739257.5830527265,835698.6249518319,2673844.49614208
2023-03-07,1706574.6898745918,779698.3700782027,2656992.9081783015
2023-03-08,1742096.7478374927,770156.080766233,2716076.606828238
2023-03-09,1794295.8088509324,847435.326224159,2837932.9179142206
2023-03-10,1780082.223140571,871014.0844884608,2720504.9975701473
2023-03-11,1596909.4470516827,664147.0384723287,2545442.8579152226
2023-03-12,1751330.3189659216,854376.7719917664,2653752.3733160063
2023-03-13,1739885.839460997,801027.9788422718,2647250.873640733
2023-03-14,1707202.946282723,704398.8678927524,2634080.3780730083
2023-03-15,1742725.0042455771,782780.3624448375,2721748.3330545505
2023-03-16,1794924.0652593665,855090.3323208401,2752371.002909186
2023-03-17,1780710.4795487283,887240.0215294585,2760246.5613846197
2023-03-18,1597537.7034599045,654792.1143557559,2544471.1490212316
2023-03-19,1751958.5753740673,798971.0740577289,2654275.633431561
2023-03-20,1740514.0958944878,753191.8908230069,2625622.3005874776
2023-03-21,1707831.2027408,799571.253497355,2688715.1869504834
2023-03-22,1743353.260728446,768978.0368206394,2678430.185008593
2023-03-23,1795552.321767693,831836.0705815053,2753130.312608153
2023-03-24,1781338.7360816242,875190.5760213246,2734217.477148133
2023-03-25,1598165.960017973,619750.4283341167,2511936.444700883
2023-03-26,1752586.8319573088,869853.5077683456,2670542.136213674
2023-03-27,1741142.352477448,900079.4817430697,2722463.807740882
2023-03-28,1708459.4593237424,790036.8487893804,2619940.802273923
2023-03-29,1743981.5173113418,825844.6692914848,2688112.45391401
2023-03-30,1796180.5783503845,844279.6043990214,2695862.5638197963
2023-03-31,1781966.9926647188,870830.0149477281,2721708.3251387607
2023-04-01,1598794.216601015,661562.5554030432,2546804.501451178
2023-04-02,1753215.0885399494,815188.5632671536,2743281.9262607805
2023-04-03,1741770.6090605299,785266.6118349337,2657543.740824984
2023-04-04,1709087.7159069884,796526.2384632827,2654462.032063665
2023-04-05,1744609.7738945372,826961.4316210635,2698437.426947094
2023-04-06,1796808.83493363,859199.8747553168,2807084.1621827576
2023-04-07,1782595.2492481594,921427.0895126448,2757472.778811674
2023-04-08,1599422.4731840568,670793.0919151965,2538934.6931966725
2023-04-09,1753843.3451230484,786813.5969537363,2654667.6872419235
2023-04-10,1742398.8656433641,828182.2937934073,2648668.6627670615
2023-04-11,1709715.972489627,874159.3809888037,2713459.374274011
2023-04-12,1745238.0304777324,826618.3647807377,2647529.7241484537
2023-04-13,1797437.0915461627,872896.6689658529,2751628.6703774356
2023-04-14,1783223.5058906467,887520.4562854451,2814340.2285023537
2023-04-15,1600050.7298563682,679989.8178837087,2576353.2970173387
2023-04-16,1754471.6018251856,785342.6087294839,2679274.812010188
2023-04-17,1743027.1223749956,769211.313754688,2666363.5299671
2023-04-18,1710344.2292516327,736302.7069358189,2652405.7761112535
2023-04-19,1745866.2872692442,757819.5640528218,2678236.0580925336
2023-04-20,1798065.3483377243,759799.5034477168,2704648.0661319303
2023-04-21,1783851.762681805,847379.550630474,2622790.1151223537
2023-04-22,1600678.9866477353,665802.288095231,2617762.0131913414
2023-04-23,1755099.8586161423,823619.048257582,2687233.450334188
2023-04-24,1743655.3791666413,805390.9853779416,2677333.6969403327
2023-04-25,1710972.4860428914,743716.823953688,2761455.3747150623
2023-04-26,1746494.5440603213,804843.0118207342,2685181.785677569
2023-04-27,1798693.60512905,896983.0715901487,2757473.426217891
2023-04-28,1784480.0194729634,779194.9605343875,2701995.463591764
2023-04-29,1601307.243439131,646090.7320768699,2459076.0773673644
2023-04-30,1755728.1154075582,862158.4718553775,2712694.2074648077
2023-05-01,1744283.6359577917,775223.7637971627,2750838.279904623
2023-05-02,1711600.7428344535,782034.0560216106,2658488.2424541577
2023-05-03,1747122.800851833,817926.3625036674,2744175.8581838734
2023-05-04,1799321.861920294,873317.0355779808,2759373.170362459
2023-05-05,1785108.2762643741,894086.3826719396,2660021.0508682644
2023-05-06,1601935.500246598,690002.1740627222,2528253.6482435325
2023-05-07,1756356.3722313328,857022.9902715075,2772836.8493807577
2023-05-08,1744911.8927975157,823187.2913932241,2647778.057347902
2023-05-09,1712228.9996904503,764999.663088712,2656408.247226555
2023-05-10,1747751.0577235883,842111.7968704343,2691932.388939811
2023-05-11,1799950.1188082718,933247.1009516387,2799931.503510563
2023-05-12,1785736.5331682938,833971.7392841115,2780297.719422561
2023-05-13,1602563.757150717,685843.0939854071,2558671.5294325487
2023-05-14,1756984.6291355095,848226.3877584098,2807352.8514586226
2023-05-15,1745540.149701801,774008.7737635776,2734662.3048841073
2023-05-16,1712857.2565941666,779883.7060582088,2707794.9676812035
2023-05-17,1748379.3146281608,790064.2765713496,2694182.5594227337
2023-05-18,1800578.3757125947,793710.693521505,2706905.108211287
2023-05-19,1786364.7900723391,872429.9979455195,2731003.7287453194
2023-05-20,1603192.0140548828,622412.6737078599,2594599.512033966
2023-05-21,1757612.8860398282,799597.030956708,2623147.67405046
2023-05-22,1746168.40660596,817667.3740460874,2657341.981224424
2023-05-23,1713485.5134984897,796621.8537516271,2618163.233979232
2023-05-24,1749007.571532134,800236.6989132488,2721133.821942173
2023-05-25,1801206.6326166815,823943.920328353,2774301.378827298
2023-05-26,1786993.0469769833,890288.4750543435,2703770.9099747287
2023-05-27,1603820.2709590022,649332.5750761412,2533746.817073837
2023-05-28,1758241.1429438626,754838.1101033856,2685874.3124611527
2023-05-29,1746796.6635160183,819067.7210256021,2772547.567766405
2023-05-30,1714113.7704147021,691073.7084845613,2675520.5212968383
2023-05-31,1749635.8284544123,770770.052433619,2730026.2652438204
2023-06-01,1801834.8895455908,879434.7724057588,2725121.217246341
2023-06-02,1787621.3039117623,877000.5546166401,2768131.763299308
2023-06-03,1604448.527900001,652024.9117215013,2557005.340896545
2023-06-04,1758869.3998912077,821375.0113009933,2689170.795696727
2023-06-05,1747424.920463204,864318.5257496584,2665306.7377651413
2023-06-06,1714742.027362052,848679.4238454401,2609926.6022446766
2023-06-07,1750264.0854017115,855456.9714642732,2724100.2379328134
2023-06-08,1802463.1464924677,850631.7361949028,2783945.074528597
2023-06-09,1788249.5608588345,890913.6858572692,2698064.459607028
2023-06-10,1605076.7848471378,650412.394351788,2535911.570921795
2023-06-11,1759497.6568379519,823362.4645102196,2676611.904745139
2023-06-12,1748053.1774101416,831766.8697423323,2735172.886830528
2023-06-13,1715370.284309098,866935.5396052701,2665771.217610758
2023-06-14,1750892.3423490103,807615.7179036925,2706063.7505731387
2023-06-15,1803091.4034398173,819793.2003744986,2751192.6714973794
2023-06-16,1788877.8178065051,868694.781361635,2752784.436244911
2023-06-17,1605705.0417942745,661131.5812761826,2552157.084711207
2023-06-18,1760125.913785155,806185.8382573508,2726462.8905417924
2023-06-19,1748681.4343575744,703073.6321711617,2656983.7399799884
2023-06-20,1715998.541256144,815745.4447230167,2708633.4455366936
2023-06-21,1751520.5992731028,856897.5021069085,2710692.3114708425
2023-06-22,1803719.6603410344,810010.2802786967,2683115.518791033
2023-06-23,1789506.0746847296,807477.9077251824,2746822.881667091
2023-06-24,1606333.2986497919,743168.5100930572,2549003.571106194
2023-06-25,1760754.1706178226,872268.3086820901,2751544.094408507
2023-06-26,1749309.6911674438,795848.9805419926,2668977.7501659864
2023-06-27,1716626.7980430434,732882.7825391615,2609324.550126065
2023-06-28,1752148.8560597529,757558.5224515569,2667345.429549249
2023-06-29,1804347.9171277978,893117.5711656206,2781896.1965436013
2023-06-30,1790134.3314715787,790395.4196880414,2741023.612424751
2023-07-01,1606961.555436588,697113.0253916013,2536527.707917885
2023-07-02,1761382.4274048181,826404.7807307455,2715218.37661686
2023-07-03,1749937.9479542798,812813.3667718121,2685295.229513826
2023-07-04,1717255.0548300436,759509.9574560649,2588525.9608340077
2023-07-05,1752777.1128467026,838568.7294615386,2621343.2294300613
2023-07-06,1804976.1739145617,915335.2225265747,2715792.2450039685
2023-07-07,1790762.5882581752,915217.7231147935,2734392.5705631757
2023-07-08,1607589.8122234307,663980.2774690542,2508199.588137811
2023-07-09,1762010.684191814,858176.2622217359,2693597.242529469
2023-07-10,1750566.2047408684,804102.6246162431,2666914.5248352187
2023-07-11,1717883.3116164366,778504.5803310663,2609689.981777278
2023-07-12,1753405.369633652,816397.4416332121,2680117.626657715
2023-07-13,1805604.4307012437,805551.0551110236,2815798.783270345
2023-07-14,1791390.8450448979,831864.7039444578,2781390.1897099963
2023-07-15,1608218.06897204,671520.894168777,2575404.160032048
2023-07-16,1762638.9409023107,771640.9679538815,2745243.5599980946
2023-07-17,1751194.4614131695,880264.9492235392,2653639.754681352
2023-07-18,1718511.5682507239,739481.8016846639,2669942.7516371273
2023-07-19,1754033.6262292757,791962.380905215,2682723.806104161
2023-07-20,1806232.6872589374,908258.7422878821,2698901.826816373
2023-07-21,1792019.101564246,868492.2401808286,2715415.5464356393
2023-07-22,1608846.3254915962,617107.826785497,2549312.5324549135
2023-07-23,1763267.1974211729,819676.2727145449,2658631.0926256212
2023-07-24,1751822.7179328834,772852.7111435593,2685678.448476537
2023-07-25,1719139.824770172,844500.6891239209,2760275.5258168774
2023-07-26,1754661.8827486776,744662.6459475566,2687738.877232983
2023-07-27,1806860.943778689,823717.4531272745,2778656.43219112
2023-07-28,1792647.3580837203,801914.9510448781,2735815.8545672493
2023-07-29,1609474.5820111353,661563.3841446167,2521705.920367773
2023-07-30,1763895.4539409203,797364.9528425481,2708496.683603193
2023-07-31,1752450.974452471,762279.3158079364,2768480.6330983792
2023-08-01,1719768.081289924,761580.8945460381,2700369.629835316
2023-08-02,1755290.1392686786,833377.8173832763,2717542.1585568353
2023-08-03,1807489.2002979678,861432.4729294276,2681676.509697301
2023-08-04,1793275.614603793,826988.5460333895,2699692.3843081538
2023-08-05,1610102.8385306832,654193.611691835,2579154.7315613204
2023-08-06,1764523.7104606675,843797.2317628971,2763846.7319108793
2023-08-07,1753079.2310446042,781139.2294266567,2629005.473165931
2023-08-08,1720396.337954958,794719.4897034758,2569336.6943413722
2023-08-09,1755918.3960060247,819478.3373877746,2728099.824403718
2023-08-10,1808117.4571088909,887723.1746682435,2710181.204491025
2023-08-11,1793903.8714872317,813385.9510637195,2760776.7324147136
2023-08-12,1610731.0954869795,592033.1421687639,2569308.470705152
2023-08-13,1765151.9674898228,789857.7581399976,2722592.0296319053
2023-08-14,1753707.4880739895,799721.1910196254,2719634.689317652
2023-08-15,1721024.5949841593,809392.662948884,2630486.5020201374
2023-08-16,1756546.6530355758,849115.2882968197,2726624.18998944
2023-08-17,1808745.7141381928,921933.8890570486,2782011.401795169
2023-08-18,1794532.1285161301,858665.3675876855,2705617.829731477
2023-08-19,1611359.3525160775,610734.5100750478,2594684.7720271386
2023-08-20,1765780.2245186619,774562.0647583604,2666364.2653855276
2023-08-21,1754335.7451028798,835097.529303307,2700696.9493118073
2023-08-22,1721652.852013158,845391.0621286931,2651812.8505688584
2023-08-23,1757174.9100645275,811164.74988098,2687968.579267616
2023-08-24,1809373.9711672582,819881.9462230689,2794805.5189104797
2023-08-25,1795160.385545281,846762.3780922382,2735365.4066387536
2023-08-26,1611987.6095452309,695307.870508773,2550819.791793628
2023-08-27,1766408.4815476753,784386.4528203877,2622745.77198863
2023-08-28,1754964.0021317701,785618.6125879621,2774941.166558845
2023-08-29,1722281.10904246,774429.8742026755,2635800.432300427
2023-08-30,1757803.1670937792,735829.9739486305,2692764.5005796426
2023-08-31,1810002.2281964787,905608.3887691479,2734738.797768742
2023-09-01,1795788.6425741792,904499.6095475171,2620508.1342058014
2023-09-02,1612615.8665743289,698388.2365539217,2606299.737597736
2023-09-03,1767036.7385769729,862418.492760927,2718189.7930649943
2023-09-04,1755592.2591609082,757311.0115302723,2666453.100005402
2023-09-05,1722909.366071358,754750.7978666644,2628512.39874293
2023-09-06,1758431.4241230309,857510.3673903533,2749208.0038574464
2023-09-07,1810630.4852253075,811492.0421039412,2677651.1749784187
2023-09-08,1796416.8996030777,840969.5104922213,2781012.104925564
2023-09-09,1613244.123603418,631958.902413415,2558411.142856074
2023-09-10,1767664.9956061284,734840.6847340488,2773697.823180533
2023-09-11,1756220.516189925,799350.9436969599,2751148.5822346797
2023-09-12,1723537.62310066,745672.8905372685,2652632.3314873395
2023-09-13,1759059.6811522823,754399.4698520947,2682235.4359688475
2023-09-14,1811258.7422546097,843801.314936884,2772999.86314547
2023-09-15,1797045.1566321023,963641.2048512029,2764354.425306923
2023-09-16,1613872.3806325628,692367.7929979314,2510323.030550622
2023-09-17,1768293.2526352834,813596.030714088,2706686.2716625636
2023-09-18,1756848.7732193102,816268.5213212486,2651717.931979925
2023-09-19,1724165.880129355,753231.2788113805,2703927.044916822
2023-09-20,1759687.9381812343,793129.8003454581,2757274.1778723323
2023-09-21,1811886.999283675,879350.131522385,2776171.214326412
2023-09-22,1797673.4136617254,834511.651200864,2797372.828543511
2023-09-23,1614500.637661652,669711.3405761891,2548803.717037695
2023-09-24,1768921.509664439,761967.2895698448,2723173.6149886316
2023-09-25,1757477.0302482008,769750.5628341808,2737658.4762897575
2023-09-26,1724794.1371586572,798464.6782525061,2701192.6196853085
2023-09-27,1760316.1952100515,809533.2281498058,2728788.545962116
2023-09-28,1812515.2563127407,819044.4181589199,2766096.37495423
2023-09-29,1798301.6706908757,817862.9950163268,2703343.676362912
2023-09-30,1615128.894690759,673406.6151544043,2574991.9306626483
2023-10-01,1769549.7666937364,827196.510654115,2643526.3839572906
2023-10-02,1758105.2872773386,858112.0177230388,2649805.410679416
2023-10-03,1725422.3941879594,811610.2414116578,2666115.4470238322
2023-10-04,1760944.4522390033,825606.7231845182,2740961.5845185607
2023-10-05,1813143.5133418064,937529.1109718197,2658004.534205315
2023-10-06,1798929.9277197742,801266.1398541847,2723043.241650426
2023-10-07,1615757.1517198484,628736.7149528438,2526428.8390121534
2023-10-08,1770178.0237224335,823591.8090240303,2676005.9468754036
2023-10-09,1758733.5443066028,856604.5937280915,2729557.564757964
2023-10-10,1726050.6512166543,790108.2464352124,2636202.2538730847
2023-10-11,1761572.7092685546,862814.1990299366,2714256.421342357
2023-10-12,1813771.770371108,849421.0801619353,2761317.349747878
2023-10-13,1799558.1847493972,844248.7903277013,2725702.5916437223
2023-10-14,1616385.4087489373,656096.8796067516,2581950.1048004557
2023-10-15,1770806.280751731,834383.0434822112,2729918.3409114038
2023-10-16,1759361.8013357408,855765.9162830577,2761935.9601785326
2023-10-17,1726678.9082459565,842447.2997725523,2698950.0961948037
2023-10-18,1762200.9662975066,854968.8824311921,2703643.002335916
2023-10-19,1814400.0273998554,901909.6401175237,2658476.8890736746
2023-10-20,1800186.4417782957,907633.0131517397,2756941.1053810283
2023-10-21,1617013.6657780441,699758.433389379,2521324.8376510805
2023-10-22,1771434.5377807443,799500.2998672221,2707530.0924336985
2023-10-23,1759990.0583648786,853864.6099247822,2712386.8893108135
2023-10-24,1727307.1652751577,845632.5804841772,2702572.092413673
2023-10-25,1762829.2233264586,815593.2181843647,2697411.683369305
2023-10-26,1815028.2844291574,856776.4683279233,2780503.594885885
2023-10-27,1800814.69880732,910065.5819730506,2823326.2933773356
2023-10-28,1617641.9228071333,680268.3373137696,2514612.7364246603
2023-10-29,1772062.7948100416,895290.7228220698,2706565.623827754
2023-10-30,1760618.3153940164,858580.3193311642,2662177.683518671
2023-10-31,1727935.4223044598,854346.562112813,2689406.0428133765
2023-11-01,1763457.48035601,859692.8782522053,2701264.6100293016
2023-11-02,1815656.5414579865,906047.4405943933,2731218.829252755
2023-11-03,1801442.955836345,833652.4619164439,2835726.997616545
2023-11-04,1618270.179836278,649059.2676267569,2545392.0780949546
2023-11-05,1772691.0518385961,866631.5545693974,2734919.213173455
2023-11-06,1761246.572422907,860737.9699369953,2718801.077266721
2023-11-07,1728563.6793334584,835409.7562597354,2728416.448437603
2023-11-08,1764085.737384962,825498.2187254314,2697127.7474173317
2023-11-09,1816284.798487207,947205.6623884462,2736635.441046256
2023-11-10,1802071.2128653694,896082.0886222001,2708115.010940004
2023-11-11,1618898.4368653672,646512.4460363787,2562713.0937700802
2023-11-12,1773319.308867894,843925.170503457,2746402.1693931622
2023-11-13,1761874.8294522923,868757.064865062,2743622.140418021
2023-11-14,1729191.936362457,815306.871828092,2710993.525983993
2023-11-15,1764713.994413779,800106.4446420792,2703133.434680596
2023-11-16,1816913.0555162723,897329.3909012534,2741472.8747252584
2023-11-17,1802699.4698942676,869461.787516871,2736616.7482016115
2023-11-18,1619526.6938944655,633895.3905943031,2589166.4243684215
2023-11-19,1773947.5658971916,832291.1399160448,2765851.1784097156
2023-11-20,1762503.086481309,803013.1817820624,2737673.103411272
2023-11-21,1729820.1933914558,761280.4569896798,2706572.292491231
2023-11-22,1765342.2514430303,838662.5621587367,2670687.113137834
2023-11-23,1817541.3125455743,832264.8633728664,2858991.3714174796
2023-11-24,1803327.7269234185,852131.9489929624,2716033.9425827693
2023-11-25,1620154.9509235632,724611.3756324614,2638237.9491940113
2023-11-26,1774575.822926205,879819.4669494792,2723088.1206906554
2023-11-27,1763131.3435104468,805011.4843799827,2631206.0267008045
2023-11-28,1730448.450420758,788430.1368569002,2665625.0988475247
2023-11-29,1765970.508472282,788132.025431262,2740385.7353289234
2023-11-30,1818169.569574876,880646.7639922804,2741628.7934257532
2023-12-01,1803955.9839529153,865571.7413754932,2733820.8184174267
2023-12-02,1620783.2079527169,645443.3958772836,2568627.1920793885
2023-12-03,1775204.0799555024,783464.8156282826,2713856.627483069
2023-12-04,1763759.6005393374,865792.7392523498,2816504.8685103618
2023-12-05,1731076.707449453,813589.1129005245,2627577.4086880684
2023-12-06,1766598.7655010992,771312.434125041,2693227.994957433
2023-12-07,1818797.8266037053,857980.4989028767,2851857.247361838
2023-12-08,1804584.24098194,841898.7323234598,2773954.9312990797
2023-12-09,1621411.464981806,712190.4849260664,2514148.247647088
2023-12-10,1775832.336984658,874967.4317045739,2799581.3002210604
2023-12-11,1764387.8575682277,829170.0713327862,2705794.833819129
2023-12-12,1731704.9644789577,746698.4202477484,2652134.6320379134
2023-12-13,1767227.0225303508,781863.5124129407,2707154.5869392487
2023-12-14,1819426.083633007,841720.164270347,2754760.57245321
2023-12-15,1805212.4980108384,834176.3815374796,2696189.236665692
2023-12-16,1622039.7220109042,648824.7699711984,2635694.0533195087
2023-12-17,1776460.5940133545,856130.911477689,2725783.2869070927
2023-12-18,1765016.114597613,814239.1500917862,2685711.035313499
2023-12-19,1732333.2215076527,822561.0752972207,2730813.1602746295
2023-12-20,1767855.2795593028,861473.149674441,2649977.6984042595
2023-12-21,1820054.3406620726,878416.5390178179,2789738.457783957
2023-12-22,1805840.7550397364,875328.8421508169,2819847.892027357
2023-12-23,1622667.9790399934,736621.3041326305,2609655.3742304323
2023-12-24,1777088.8510425098,918951.0591636277,2752513.6153207663
2023-12-25,1765644.3716265038,873237.0552999992,2693392.0100522377
2023-12-26,1732961.4785369548,783347.2731025579,2663088.405051038
2023-12-27,1768483.536588554,785526.7946150949,2761278.531656225
2023-12-28,1820682.5976910566,917699.8135420873,2752767.0790535556
2023-12-29,1806469.0120688872,778580.333060122,2758934.8366810055
2023-12-30,1623296.2360691004,721707.0768236305,2553541.097376632
2023-12-31,1777717.1080718075,877351.377205902,2751529.868262899
2024-01-01,1766272.6286556413,791632.4570816235,2781020.179905909
2024-01-02,1733589.7355661562,784536.3667385539,2735820.2689561094
2024-01-03,1769111.793617506,867843.387839115,2776885.5394964716
2024-01-04,1821310.8547201222,970866.006405429,2698101.1820686907
2024-01-05,1807097.2690986365,904953.9083728679,2832476.3802740634
2024-01-06,1623924.4930981894,730120.0626552965,2617505.4397456213
2024-01-07,1778345.3651009628,888277.9870299372,2727579.2739861566
2024-01-08,1766900.8856849058,841054.8267231839,2706771.652410907
2024-01-09,1734217.9925951548,723477.6828235597,2626634.684971237
2024-01-10,1769740.0506470576,805693.9944917576,2744784.775808826
2024-01-11,1821939.111749424,865137.2547865051,2790960.443631178
2024-01-12,1807725.526127535,859228.7454289993,2799104.872819143
2024-01-13,1624552.7501273341,696341.1945302852,2610148.581471195
2024-01-14,1778973.6221302606,793426.4998592872,2672876.708187387
2024-01-15,1767529.1427140436,851034.3351181456,2743303.903415384
2024-01-16,1734846.2496241534,845559.6563874123,2682551.1280550524
2024-01-17,1770368.3076760094,770716.4263749275,2652291.069061551
2024-01-18,1822567.3687784893,917342.0742695206,2756820.046966739
2024-01-19,1808353.7831564334,856916.8058637518,2790545.276162869
2024-01-20,1625181.0071564321,707074.3776798567,2560166.486623952
2024-01-21,1779601.8791592736,835933.2864341172,2757994.829062455
2024-01-22,1768157.3997431814,902048.1232141261,2657803.4707578486
2024-01-23,1735474.5066534553,816692.2539629358,2644174.124206598
2024-01-24,1770996.5647048268,761681.4914713007,2718803.5737192435
2024-01-25,1823195.625807791,898704.4358998993,2759361.8444660753
2024-01-26,1808982.040185458,869461.0592782352,2683634.533865007
2024-01-27,1625809.2641855301,727452.0804959706,2618552.275830732
2024-01-28,1780230.136188571,856767.629727237,2714273.3391024834
